zipcode,med_list_price,avg_sale,med_list_per_sqft,avg_num_offers,med_sale_price,avg_down_payment,med_sale_per_sqft,num_sold,ele_school_mean,mid_school_mean,high_school_mean
07704,$999K,97.6%,$407,1,$892K,—,$306,10,8.0,8.0,6.0
07709,3.25,3.0,1.0
07710,$298K,—,—,—,—,—,—,—,nan,nan,nan
07711,$999K,95.0%,$378,—,$1.5M,—,$492,1,4.0,4.0,nan
07712,$462K,97.8%,$252,1,$389K,10.0%,$224,55,4.6,3.5,5.0
07715,5.666666666666667,6.0,nan
07716,$549K,95.7%,$242,1,$307K,—,$231,12,6.333333333333333,5.0,nan
07717,$1.42M,96.3%,$575,—,$650K,—,$543,1,8.0,8.0,nan
07718,$364K,98.9%,$217,1,$334K,20.0%,$236,10,5.0,nan,5.0
07719,$500K,97.9%,$285,1,$483K,0.0%,$283,40,7.6,6.8,7.5
07720,$710K,98.6%,$419,1,$550K,—,$479,9,3.0,3.0,nan
07721,$340K,97.2%,$177,1,$268K,—,$198,5,6.0,7.0,nan
07722,$975K,93.6%,$252,1,$710K,21.2%,$221,19,7.0,8.0,7.5
07723,$1.95M,89.1%,$586,—,$1.02M,—,$353,2,4.0,4.0,nan
07724,$450K,97.4%,$210,2,$339K,2.8%,$219,36,7.0,6.0,5.0
07726,$531K,97.7%,$208,1,$425K,2.2%,$195,81,8.2,7.5,5.5
07727,$509K,98.6%,$195,3,$542K,5.0%,$208,11,5.75,5.333333333333333,7.0
07728,$449K,98.1%,$195,1,$360K,5.0%,$199,95,7.0,7.0,6.2
07730,$350K,96.3%,$222,1,$318K,5.0%,$209,30,6.8,4.0,4.5
07731,$359K,98.3%,$191,1,$345K,7.8%,$195,85,6.8,5.5,4.666666666666667
07732,$399K,97.5%,$267,1,$325K,—,$233,22,4.0,5.0,7.0
07733,$800K,97.7%,$242,1,$719K,9.7%,$248,32,6.666666666666667,7.0,8.0
07734,$250K,97.0%,$173,1,$241K,—,$167,24,4.666666666666667,2.0,4.0
07735,$325K,99.4%,$206,1,$272K,—,$193,30,5.8,4.75,3.0
07737,$470K,98.1%,$267,1,$375K,0.0023%,$204,7,5.0,5.0,nan
07738,$664K,102.1%,$249,1,$593K,20.0%,$257,12,6.0,nan,8.0
07739,$797K,99.4%,$297,1,$600K,—,$300,15,6.0,6.5,6.0
07740,$585K,96.5%,$319,1,$428K,2.0%,$320,34,3.5,4.0,3.0
07746,$600K,98.3%,$211,1,$556K,20.0%,$214,40,7.8,7.5,7.0
07747,$400K,99.2%,$209,1,$340K,5.0%,$209,64,6.6,7.0,6.0
07748,$507K,98.3%,$226,1,$428K,20.0%,$241,48,7.2,4.0,4.333333333333333
07750,$887K,94.5%,$380,—,$755K,—,$375,6,7.0,7.0,nan
07751,$575K,97.8%,$218,1,$445K,10.0%,$208,27,7.8,8.0,7.0
07752,$770K,97.8%,$197,—,$660K,—,$232,1,6.0,nan,5.0
07753,$340K,98.0%,$213,1,$315K,—,$215,46,6.2,4.0,5.5
07754,$437K,97.7%,$238,—,$390K,—,$247,1,nan,nan,nan
07755,$590K,96.6%,$299,1,$490K,—,$253,8,4.0,nan,5.0
07756,$600K,98.0%,$433,—,$480K,—,$376,9,nan,nan,nan
07757,$633K,97.3%,$266,1,$791K,17.0%,$234,10,6.666666666666667,5.0,6.0
07758,$349K,99.8%,$219,8,$300K,—,$220,5,5.666666666666667,4.0,2.0
07760,$1.61M,96.2%,$416,1,$1.11M,19.4%,$428,19,6.666666666666667,7.0,6.0
07762,$674K,96.2%,$451,1,$543K,9.6%,$616,16,7.666666666666667,8.0,nan
07763,nan,nan,nan
07764,$474K,90.7%,$243,2,$342K,20.0%,$207,8,6.0,6.0,6.0
07765,$125K,100.0%,—,—,$125K,—,—,1,8.0,7.0,nan
07777,nan,nan,nan
07799,nan,nan,nan
07801,$332K,99.4%,$185,3,$280K,20.0%,$190,14,5.8,5.5,5.0
07802,nan,nan,nan
07803,$299K,99.8%,$190,2,$360K,2.5%,$202,5,7.0,nan,nan
07806,7.2,6.0,6.0
07820,$600K,—,—,—,—,—,—,—,6.0,6.0,nan
07821,$340K,98.3%,$158,—,$309K,—,$175,16,7.0,6.0,4.5
07822,$700K,98.2%,$167,—,$280K,—,$128,1,6.0,6.0,nan
07823,$230K,97.6%,$135,—,$249K,—,$134,4,5.0,5.0,4.0
07825,$339K,94.6%,$145,—,$240K,—,$126,15,6.25,6.666666666666667,6.0
07826,$289K,96.5%,$168,—,$264K,—,$131,10,6.0,6.0,nan
07827,$220K,94.0%,$119,—,$189K,5.0%,$153,4,7.0,8.0,7.0
07828,$330K,99.7%,$180,1,$276K,—,$187,20,7.333333333333333,8.0,8.0
07829,6.0,6.0,nan
07830,$540K,93.5%,$194,1,$352K,20.0%,$221,4,6.333333333333333,7.666666666666667,8.0
07831,$638K,—,—,—,—,—,—,—,nan,nan,nan
07832,$326K,95.4%,$139,—,$219K,—,$108,2,6.0,6.5,6.0
07833,$249K,102.0%,$184,—,$254K,—,$188,1,5.0,nan,nan
07834,$525K,99.5%,$230,—,$417K,3.6%,$231,36,7.8,6.0,7.0
07836,$455K,96.5%,$177,1,$395K,—,$166,16,6.8,8.0,8.5
07837,$200K,—,$182,—,—,—,—,—,nan,nan,nan
07838,$280K,98.3%,$134,—,$194K,—,$156,5,7.25,6.666666666666667,6.0
07839,$350K,—,$149,—,—,—,—,—,8.0,8.0,nan
07840,$325K,97.1%,$163,1,$265K,—,$155,50,7.2,6.75,6.0
07842,$150K,95.0%,$99,—,$380K,—,$194,1,nan,nan,nan
07843,$261K,98.8%,$187,1,$215K,—,$163,27,5.25,5.5,3.0
07844,$290K,91.3%,$191,—,$63K,—,—,1,nan,nan,nan
07845,7.0,nan,nan
07846,$60K,100.0%,—,—,$60K,—,—,1,nan,nan,nan
07847,$377K,99.4%,$223,—,$337K,—,$233,2,5.0,nan,nan
07848,$390K,98.9%,$150,—,$237K,—,$120,8,5.0,6.0,6.0
